First Name,Last Name,Email,Phone,City,Company,Lead Source,Status,Created Date,,,,,,,
David,Peretz  ,david.peretz@walla.co.il,0534576485,Petah Tikva,Acme Ltd,Referral,ACTIVE,2.2.2025,,,,,לפני ניקוי ,אחרי ניקוי ,כפילויות שהוסרו
Eli,Avraham,eli.avraham@gmail.com,0593043299,Ramat Gan,,website,ACTIVE,22.8.2025,,,,,977,888,89
David,Amar,damar@yahoo.com,0596097514,Haifa,Sela Group,Social Media,IN PROGRESS,28.5.2025,,,,,,,
Nir,Azoulay,nazoulay@outlook.com,0534100967,Jerusalem,StartUp Co.,website,ACTIVE,15.6.2025,,,,,,,
Hila,Katz,hila.katz@yahoo.com,0,Beer Sheva,Nexus Israel,,ACTIVE,27.7.2025,,,,,,,
Yossi,Levi,yossilevi@gmail.com,0599488317,Netanya,,website,ACTIVE,26.2.2025,,,,,,,
David,Azoulay,,08548398,Haifa,TechCo,,ACTIVE,28.9.2025,,,,,,,
Noa,Marom,noa.marom@walla.co.il,0,Beer Sheva,Delta Systems,website,ACTIVE,22.9.2025,,,,,,,
Adi,Amar,adi.amar@walla.co.il,02556334,Haifa,Acme Ltd,Website,ACTIVE,19.9.2025,,,,,,,
Dana,Sasson,danasasson@gmail.com,05172212,Herzliya,Acme Ltd.,REFERRAL,IN PROGRESS,3.5.2025,,,,,,,
Yael,Elbaz,yael.elbaz@gmail.com,0598418454,Holon,N/A,Cold Call,ACTIVE,6.4.2025,,,,,,,
Moshe,Gabai,moshegabai@hotmail.com,0549368933,Haifa,Sela Group,Social Media,ACTIVE,23.3.2025,,,,,,,
Noa,Cohen,ncohen@gmail.com,04284999,Petah Tikva,Sela Group,Event,ACTIVE,5.10.2025,,,,,,,
Itai,Azoulay,itaiazoulay@gmail.com,0538756565,Tel Aviv,Nexus Israel,Website,CLOSED,4.8.2025,,,,,,,
Tal,Katz,talkatz@walla.co.il,0537909008,Herzliya,N/A,Social Media,ACTIVE,23.9.2025,,,,,,,
Eli,Levi,elevi@gmail.com,0566334726,Jerusalem,Acme Ltd.,website,ACTIVE,11.10.2025,,,,,,,
Tamar,Shapiro,tshapiro@gmail.com,0562777454,Petah Tikva,Acme Ltd.,Social Media,ACTIVE,19.11.2025,,,,,,,
Moshe,Sasson,msasson@yahoo.com,01105007,Haifa,Globex Inc,Referral,INACTIVE,6.4.2025,,,,,,,
Yossi,Gabai,ygabai@walla.co.il,0572477088,Tel Aviv,N/A,Website,INACTIVE,25.6.2025,,,,,,,
Amit,Ben-David,amitben-david@walla.co.il,0586998844,Rishon Lezion,Acme Ltd.,Referral,ACTIVE,20.3.2025,,,,,,,
Amit,Levi,amitlevi@hotmail.com,0549673929,Petah Tikva,Sela Group,Website,ACTIVE,2.8.2025,,,,,,,
Moshe,Avraham,mosheavraham@hotmail.com,0534616607,Beer Sheva,,Social Media,ACTIVE,12.4.2025,,,,,,,
Noa,Elbaz,nelbaz@yahoo.com,06437514,Haifa,StartUp Co.,Website,ACTIVE,19.4.2025,,,,,,,
Roni,Levi,ronilevi@yahoo.com,0513874628,Tel Aviv,Globex Inc,website,ACTIVE,9.10.2025,,,,,,,
Omer,Dahan,omer.dahan@walla.co.il,0,Ramat Gan,StartUp Co.,Cold Call,IN PROGRESS,9.10.2025,,,,,,,
Roni,Gabai,roni.gabai@gmail.com,0564560421,Netanya,Sela Group,REFERRAL,INACTIVE,22.10.2025,,,,,,,
Yosef,Friedman,yosef.friedman@walla.co.il,06511395,Haifa,Delta Systems,website,ACTIVE,4.3.2025,,,,,,,
Maya,Dahan,maya.dahan@walla.co.il,0517793402,Ramat Gan,TechCo,,ACTIVE,13.8.2025,,,,,,,
Roni,Ben-David,RONI.BEN-DAVID@GMAIL.COM,0543234973,Rishon Lezion,Nexus Israel,Website,ACTIVE,26.5.2025,,,,,,,
Uri,Levi,uri.levi@walla.co.il,0,,N/A,Referral,ACTIVE,18.12.2025,,,,,,,
Dana,Sasson,dsasson@walla.co.il,0576682181,Herzliya,Sela Group,REFERRAL,INACTIVE,11.2.2025,,,,,,,
Ron,Elbaz,ron.elbaz@yahoo.com,0588831655,Jerusalem,TechCo,Referral,INACTIVE,14.2.2025,,,,,,,
Adi,Avraham,adi.avraham@gmail.com,0572834486,Ramat Gan,StartUp Co.,,ACTIVE,12.10.2025,,,,,,,
Ron,Marom,ronmarom@gmail.com,01886598,Ramat Gan,Sela Group,Referral,IN PROGRESS,15.3.2025,,,,,,,
Shani,Marom,SHANIMAROM@WALLA.CO.IL,0557572213,Ramat Gan,StartUp Co.,website,CLOSED,10.6.2025,,,,,,,
Shira,Peretz,speretz@hotmail.com,05909495,Ramat Gan,Acme Ltd,REFERRAL,ACTIVE,23.7.2025,,,,,,,
Amit,Katz,akatz@hotmail.com,0574452490,Netanya,,website,ACTIVE,28.5.2025,,,,,,,
Tamar,Mizrahi,tamar.mizrahi@walla.co.il,0584664401,Beer Sheva,,Referral,CLOSED,6.2.2025,,,,,,,
Itai,Avraham,ITAIAVRAHAM@YAHOO.COM,0507625504,Herzliya,,website,ACTIVE,2.11.2025,,,,,,,
Guy,Shapiro,guyshapiro@gmail.com,0533367504,Netanya,Nexus Israel,Cold Call,ACTIVE,7.7.2025,,,,,,,
Maya,Avraham,mayaavraham@walla.co.il,0546037929,Haifa,N/A,REFERRAL,INACTIVE,16.11.2025,,,,,,,
Omer,Azoulay,oazoulay@walla.co.il,06081848,Netanya,Sela Group,Cold Call,IN PROGRESS,21.6.2025,,,,,,,
Yossi,Marom,ymarom@outlook.com,05541401,Rishon Lezion,Delta Systems,website,CLOSED,10.11.2025,,,,,,,
Roni,Sasson  ,roni.sasson@yahoo.com,0531026523,Haifa,Acme Ltd.,Website,IN PROGRESS,12.6.2025,,,,,,,
Tal,Marom,tal.marom@outlook.com,0592746679,Netanya,TechCo,Referral,ACTIVE,22.12.2025,,,,,,,
Avi,Malka,avi.malka@walla.co.il,0579031829,Haifa,Delta Systems,Cold Call,ACTIVE,16.2.2025,,,,,,,
Dor,Toledano,dortoledano@gmail.com,0,Ramat Gan,Nexus Israel,REFERRAL,ACTIVE,8.1.2025,,,,,,,
Hila,Amar,hilaamar@outlook.com,0545252527,Netanya,Acme Ltd,Cold Call,ACTIVE,17.4.2025,,,,,,,
Shira,Cohen,shira.cohen@gmail.com,03748989,Rishon Lezion,Globex Inc,Cold Call,ACTIVE,28.2.2025,,,,,,,
Yosef,Avraham,yavraham@hotmail.com,0572973853,Jerusalem,Delta Systems,REFERRAL,ACTIVE,5.5.2025,,,,,,,
Shani,Levi,shanilevi@yahoo.com,05884260,Petah Tikva,Acme Ltd.,website,ACTIVE,2.10.2025,,,,,,,
Dor,Ben-David,dor.ben-david@walla.co.il,0529432459,Jerusalem,TechCo,Event,ACTIVE,28.5.2025,,,,,,,
David,Katz,dkatz@gmail.com,0,Tel Aviv,Acme Ltd.,Event,ACTIVE,4.7.2025,,,,,,,
Gal,Katz,GALKATZ@GMAIL.COM,0572647814,Jerusalem,StartUp Co.,,CLOSED,16.12.2025,,,,,,,
Noa,Rosenberg,noa.rosenberg@walla.co.il,0538943827,Jerusalem,Acme Ltd.,Event,ACTIVE,5.10.2025,,,,,,,
Maya,Malka  ,mmalka@hotmail.com,0,Tel Aviv,StartUp Co.,Referral,CLOSED,28.6.2025,,,,,,,
Yael,Ben-David,yael.ben-david@walla.co.il,04660770,Beer Sheva,Nexus Israel,Website,ACTIVE,6.12.2025,,,,,,,
Hila,Levi,hila.levi@yahoo.com,0554674286,Holon,TechCo,Referral,ACTIVE,11.5.2025,,,,,,,
Amit,Levi,amit.levi@walla.co.il,0535514473,Jerusalem,Nexus Israel,website,ACTIVE,23.12.2025,,,,,,,
Amit,Amar,amitamar@gmail.com,03060906,Petah Tikva,Delta Systems,,CLOSED,7.11.2025,,,,,,,
Avi,Sasson,asasson@hotmail.com,08862460,Tel Aviv,N/A,Website,INACTIVE,9.4.2025,,,,,,,
Rachel,Shapiro,rachelshapiro@hotmail.com,0526396602,Haifa,N/A,Event,INACTIVE,9.8.2025,,,,,,,
Sarah,Gabai,sarahgabai@yahoo.com,0577204577,Rishon Lezion,StartUp Co.,Social Media,ACTIVE,8.10.2025,,,,,,,
Nir,Cohen,nir.cohen@gmail.com,0502524974,Jerusalem,N/A,Social Media,CLOSED,22.12.2025,,,,,,,
Ron,Malka,ronmalka@outlook.com,06447783,Ramat Gan,Globex Inc,Event,IN PROGRESS,19.7.2025,,,,,,,
Omer,Dahan,odahan@yahoo.com,0533244325,Jerusalem,StartUp Co.,website,IN PROGRESS,13.7.2025,,,,,,,
Amit,Gabai,amit.gabai@yahoo.com,0576851807,Beer Sheva,Acme Ltd.,,ACTIVE,5.12.2025,,,,,,,
Roni,Marom,ronimarom@yahoo.com,0507389943,Beer Sheva,TechCo,Website,ACTIVE,26.12.2025,,,,,,,
Amit,Peretz,aperetz@gmail.com,05000194,Petah Tikva,Acme Ltd,Website,CLOSED,2.6.2025,,,,,,,
Yosef,Malka,ymalka@walla.co.il,03611988,Holon,Nexus Israel,,ACTIVE,26.1.2025,,,,,,,
Shani,Elbaz,SELBAZ@GMAIL.COM,0543163099,Ramat Gan,,website,ACTIVE,24.8.2025,,,,,,,
Tamar,Biton,tamarbiton@yahoo.com,0,Rishon Lezion,Nexus Israel,Event,ACTIVE,7.3.2025,,,,,,,
Rachel,Elbaz,rachelelbaz@hotmail.com,0,Netanya,Globex Inc,Referral,ACTIVE,20.10.2025,,,,,,,
Moshe,Cohen,mcohen@gmail.com,0557971498,Holon,Sela Group,Social Media,ACTIVE,18.9.2025,,,,,,,
David,Friedman,dfriedman@yahoo.com,0585806431,Netanya,,Cold Call,ACTIVE,23.1.2025,,,,,,,
Rachel,Shapiro,,0556995607,Ramat Gan,,Referral,ACTIVE,6.6.2025,,,,,,,
Noa,Toledano,noa.toledano@gmail.com,0553739250,Beer Sheva,Globex Inc,REFERRAL,ACTIVE,15.6.2025,,,,,,,
Yosef,Marom,yosef.marom@yahoo.com,0512139083,Ramat Gan,,REFERRAL,ACTIVE,14.2.2025,,,,,,,
Sarah,Katz,sarahkatz@outlook.com,0586185007,Tel Aviv,Acme Ltd.,REFERRAL,CLOSED,23.9.2025,,,,,,,
Dor,Levi,dlevi@outlook.com,0507688954,Beer Sheva,Acme Ltd,Social Media,IN PROGRESS,12.5.2025,,,,,,,
Yossi,Peretz,yperetz@hotmail.com,0531952483,Beer Sheva,N/A,REFERRAL,ACTIVE,5.7.2025,,,,,,,
Maya,Marom,mayamarom@gmail.com,0594935518,Jerusalem,Acme Ltd,website,ACTIVE,5.1.2025,,,,,,,
Yael,Elbaz,yael.elbaz@hotmail.com,0587767679,Jerusalem,Sela Group,Website,ACTIVE,23.6.2025,,,,,,,
Sarah,Avraham,sarahavraham@gmail.com,0515319012,Haifa,N/A,,ACTIVE,24.9.2025,,,,,,,
Omer,Azoulay,omerazoulay@yahoo.com,0,Herzliya,Acme Ltd.,REFERRAL,ACTIVE,26.11.2025,,,,,,,
Dana,Peretz,danaperetz@gmail.com,08796055,Ramat Gan,TechCo,Social Media,IN PROGRESS,20.8.2025,,,,,,,
Itai,Dahan,itaidahan@yahoo.com,04945405,Haifa,TechCo,Cold Call,ACTIVE,28.1.2025,,,,,,,
Omer,Amar,omer.amar@yahoo.com,0538099541,Beer Sheva,,Social Media,ACTIVE,4.4.2025,,,,,,,
Maya,Gabai,maya.gabai@hotmail.com,0,Ramat Gan,Acme Ltd,Social Media,ACTIVE,26.7.2025,,,,,,,
Noa,Katz,noakatz@walla.co.il,0521455856,Herzliya,,,ACTIVE,2.2.2025,,,,,,,
Dor,Friedman,dor.friedman@walla.co.il,0564952758,Herzliya,TechCo,Website,IN PROGRESS,15.5.2025,,,,,,,
Tamar,Amar,tamaramar@hotmail.com,0,Rishon Lezion,,REFERRAL,ACTIVE,24.11.2025,,,,,,,
Liat,Elbaz,lelbaz@yahoo.com,0557213813,Herzliya,StartUp Co.,Website,ACTIVE,18.10.2025,,,,,,,
Gal,Levi,gal.levi@outlook.com,02707462,Herzliya,Globex Inc,,IN PROGRESS,28.4.2025,,,,,,,
Michal,Peretz,michal.peretz@yahoo.com,0,Tel Aviv,Nexus Israel,Referral,ACTIVE,21.9.2025,,,,,,,
Hila,Malka,hmalka@yahoo.com,05924249,Rishon Lezion,Delta Systems,Website,ACTIVE,14.1.2025,,,,,,,
Nir,Shapiro,nirshapiro@walla.co.il,07841267,Haifa,N/A,Social Media,ACTIVE,25.8.2025,,,,,,,
Tal,Avraham,talavraham@outlook.com,0,Haifa,TechCo,Referral,ACTIVE,7.3.2025,,,,,,,
Noa,Levi,noalevi@outlook.com,0558031349,Rishon Lezion,Globex Inc,Cold Call,INACTIVE,22.6.2025,,,,,,,
Rachel,Ben-David,rachel.ben-david@outlook.com,0565527300,Beer Sheva,Acme Ltd.,Event,CLOSED,9.11.2025,,,,,,,
Nir,Peretz,nir.peretz@yahoo.com,0553937508,Beer Sheva,Acme Ltd,Event,INACTIVE,11.1.2025,,,,,,,
Yael,Sasson,yael.sasson@outlook.com,0,Tel Aviv,Sela Group,Referral,ACTIVE,2.5.2025,,,,,,,
Itai,Azoulay,itai.azoulay@walla.co.il,0522946572,Ramat Gan,N/A,Cold Call,ACTIVE,27.2.2025,,,,,,,
Rachel,Biton,rachelbiton@yahoo.com,0514730545,,Acme Ltd.,Referral,ACTIVE,1.2.2025,,,,,,,
Eli,Toledano,etoledano@hotmail.com,09175545,Haifa,Globex Inc,REFERRAL,ACTIVE,21.7.2025,,,,,,,
David,Rosenberg,drosenberg@outlook.com,0,Herzliya,Acme Ltd,Cold Call,ACTIVE,16.11.2025,,,,,,,
Roni,Rosenberg,roni.rosenberg@gmail.com,03969619,Herzliya,TechCo,Cold Call,ACTIVE,8.10.2025,,,,,,,
Gal,Sasson,gal.sasson@gmail.com,0586622207,Jerusalem,N/A,Referral,ACTIVE,9.3.2025,,,,,,,
Avi,Amar,aviamar@gmail.com,0551234044,Ramat Gan,Acme Ltd.,Social Media,ACTIVE,9.3.2025,,,,,,,
Nir,Friedman,nirfriedman@gmail.com,0514975295,Holon,StartUp Co.,Event,ACTIVE,19.1.2025,,,,,,,
Hila,Gabai,hgabai@yahoo.com,0,Herzliya,Globex Inc,,ACTIVE,7.4.2025,,,,,,,
Amit,Gabai,agabai@outlook.com,0544231751,Netanya,Acme Ltd.,Website,IN PROGRESS,8.10.2025,,,,,,,
Gal,Gabai,ggabai@outlook.com,0519726383,Netanya,Delta Systems,Website,CLOSED,3.10.2025,,,,,,,
Roni,Amar,roni.amar@gmail.com,0565979410,Jerusalem,Delta Systems,Website,ACTIVE,19.7.2025,,,,,,,
Uri,Marom,urimarom@hotmail.com,0539576076,Haifa,,Event,INACTIVE,5.4.2025,,,,,,,
Avi,Biton,avibiton@walla.co.il,0565222548,Tel Aviv,N/A,website,ACTIVE,3.10.2025,,,,,,,
Michal,Peretz,michal.peretz@outlook.com,01393855,Netanya,,Social Media,IN PROGRESS,10.6.2025,,,,,,,
Tal,Gabai,TGABAI@YAHOO.COM,0555746166,Rishon Lezion,,website,IN PROGRESS,28.12.2025,,,,,,,
Uri,Malka,uri.malka@gmail.com,0595306386,Petah Tikva,N/A,REFERRAL,ACTIVE,12.6.2025,,,,,,,
David,Biton,dbiton@outlook.com,0509278176,Tel Aviv,Nexus Israel,,ACTIVE,9.1.2025,,,,,,,
Maya,Rosenberg,,0512605305,Haifa,,Referral,INACTIVE,8.1.2025,,,,,,,
Shira,Levi,shira.levi@yahoo.com,0,Tel Aviv,,Event,ACTIVE,12.7.2025,,,,,,,
Gal,Elbaz,gelbaz@yahoo.com,0575592340,Netanya,Delta Systems,Cold Call,ACTIVE,27.7.2025,,,,,,,
Omer,Shapiro,omer.shapiro@hotmail.com,0592375290,Tel Aviv,Nexus Israel,,ACTIVE,7.10.2025,,,,,,,
Yossi,Malka,ymalka@gmail.com,0574918463,Ramat Gan,,Event,IN PROGRESS,5.12.2025,,,,,,,
Roni,Elbaz,relbaz@gmail.com,0558358269,Beer Sheva,N/A,Website,CLOSED,17.10.2025,,,,,,,
Moshe,Azoulay,,08573826,Haifa,,Event,ACTIVE,14.2.2025,,,,,,,
Eli,Dahan,edahan@yahoo.com,0572744594,Holon,Nexus Israel,Cold Call,ACTIVE,22.10.2025,,,,,,,
David,Toledano  ,david.toledano@walla.co.il,0521643739,Beer Sheva,,Social Media,IN PROGRESS,12.2.2025,,,,,,,
Maya,Malka,mmalka@hotmail.com,0546242022,Tel Aviv,StartUp Co.,Referral,CLOSED,28.6.2025,,,,,,,
Itai,Rosenberg,irosenberg@outlook.com,0554161264,Jerusalem,Nexus Israel,Cold Call,ACTIVE,12.2.2025,,,,,,,
Dana,Mizrahi,dmizrahi@walla.co.il,0507864541,Herzliya,,Referral,INACTIVE,7.6.2025,,,,,,,
Dana,Rosenberg,dana.rosenberg@yahoo.com,02217783,Haifa,Globex Inc,Website,ACTIVE,23.6.2025,,,,,,,
Rachel,Toledano,rtoledano@gmail.com,0512034784,,Delta Systems,Event,INACTIVE,21.10.2025,,,,,,,
Maya,Marom,mmarom@yahoo.com,0572407748,,Delta Systems,,INACTIVE,15.9.2025,,,,,,,
Yossi,Peretz,yossi.peretz@walla.co.il,0539524399,Rishon Lezion,N/A,Cold Call,ACTIVE,15.2.2025,,,,,,,
Tal,Toledano,tal.toledano@gmail.com,0554129876,Ramat Gan,,Website,IN PROGRESS,3.5.2025,,,,,,,
Dor,Sasson,dor.sasson@yahoo.com,0,Haifa,Sela Group,Cold Call,ACTIVE,21.2.2025,,,,,,,
Hila,Dahan,hdahan@walla.co.il,05121221,Holon,Globex Inc,Referral,ACTIVE,1.2.2025,,,,,,,
Noa,Amar,noaamar@outlook.com,0589164991,Ramat Gan,Acme Ltd,Website,ACTIVE,16.10.2025,,,,,,,
Tal,Toledano,taltoledano@hotmail.com,0567458368,Beer Sheva,TechCo,Cold Call,CLOSED,25.12.2025,,,,,,,
Gal,Avraham,,0528235234,Holon,Sela Group,Website,ACTIVE,5.8.2025,,,,,,,
Shira,Avraham,savraham@yahoo.com,0579821818,Jerusalem,Globex Inc,Social Media,CLOSED,2.11.2025,,,,,,,
Yossi,Cohen,ycohen@walla.co.il,02647624,Tel Aviv,,REFERRAL,ACTIVE,13.6.2025,,,,,,,
Gal,Dahan,gal.dahan@yahoo.com,05163839,Petah Tikva,TechCo,,ACTIVE,23.10.2025,,,,,,,
Uri,Azoulay,uri.azoulay@gmail.com,0593070908,Beer Sheva,N/A,website,ACTIVE,22.9.2025,,,,,,,
Noa,Marom,noa.marom@outlook.com,0563899223,Holon,,Social Media,INACTIVE,18.7.2025,,,,,,,
Liat,Gabai,liatgabai@gmail.com,0583763247,Ramat Gan,,Referral,ACTIVE,16.2.2025,,,,,,,
Shani,Malka,shani.malka@gmail.com,0579523059,Tel Aviv,Acme Ltd,Event,ACTIVE,7.12.2025,,,,,,,
Uri,Gabai,urigabai@gmail.com,05596363,Ramat Gan,TechCo,Website,ACTIVE,21.7.2025,,,,,,,
